City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,avarua,-21.2078,-159.775,25.03000000000003,78,40,4.12,CK,1670286418
66,makakilo city,21.3469,-158.0858,27.860000000000014,63,75,4.63,US,1670286498
67,shyryayeve,47.3805,30.1964,-3.009999999999991,80,100,4.01,UA,1670286589
68,nouadhibou,20.931,-17.0347,19.99000000000001,77,17,6.17,MR,1670286513
69,nome,64.5011,-165.4064,-0.9599999999999795,80,75,8.75,US,1670286505
70,torbay,47.6666,-52.7314,4.210000000000036,96,100,0.0,CA,1670286447
71,seddon,-37.8068,144.8916,20.370000000000005,61,75,5.14,AU,1670286590
72,piranhas,-16.4269,-51.8222,24.140000000000043,74,99,1.02,BR,1670286323
73,cabo san lucas,22.8909,-109.9124,28.170000000000016,59,0,3.09,MX,1670286315
74,alyangula,-13.8483,136.4192,30.350000000000023,53,63,2.95,AU,1670286510
75,cowra,-33.8333,148.6833,19.970000000000027,40,0,2.51,AU,1670286591
76,sorland,67.667,12.6934,2.920000000000016,81,100,16.97,NO,1670286591
77,chodavaram,17.8333,82.95,18.910000000000025,82,8,1.21,IN,1670286592
78,geraldton,-28.7667,114.6,23.230000000000018,56,57,7.2,AU,1670286460
79,tuktoyaktuk,69.4541,-133.0374,-26.99999999999997,69,75,11.32,CA,1670286457
80,tasiilaq,65.6145,-37.6368,-2.909999999999968,62,22,2.17,GL,1670286462
81,haines junction,60.7522,-137.5108,-20.029999999999973,77,95,1.03,CA,1670286593
82,nanortalik,60.1432,-45.2371,0.7000000000000455,79,96,6.86,GL,1670286593
83,vaini,-21.2,-175.2,28.090000000000032,78,75,5.66,TO,1670286445
84,albany,42.6001,-73.9662,4.230000000000018,56,100,0.45,US,1670286252
85,chuy,-33.6971,-53.4616,18.33000000000004,94,0,3.12,UY,1670286515
86,verkhoyansk,67.5447,133.385,-27.44999999999999,99,100,0.92,RU,1670286594
87,cap-aux-meules,47.3821,-61.8597,1.0300000000000296,69,20,3.6,CA,1670286594
88,komsomolskiy,40.4272,71.7189,-1.599999999999966,86,75,2.06,UZ,1670286595
89,la concepcion,8.5167,-82.6167,23.660000000000025,90,81,0.63,PA,1670286595
90,yerbogachen,61.2767,108.0108,-11.159999999999968,90,100,5.65,RU,1670286595
91,portland,45.5234,-122.6762,6.580000000000041,80,20,3.09,US,1670286596
92,cascais,38.6979,-9.4215,14.730000000000018,91,30,2.24,PT,1670286596
93,harper,4.375,-7.7169,25.650000000000034,87,79,3.22,LR,1670286597
94,tiarei,-17.5333,-149.3333,29.010000000000048,78,20,7.3,PF,1670286597
95,thompson,55.7435,-97.8558,-30.909999999999968,69,0,3.09,CA,1670286438
96,airai,-8.9266,125.4092,21.74000000000001,49,75,0.65,TL,1670286482
97,port hedland,-20.3167,118.5667,34.03000000000003,38,60,4.63,AU,1670286598
98,lerwick,60.1545,-1.1494,5.0,69,100,10.68,GB,1670286598
99,kaitangata,-46.2817,169.8464,13.220000000000027,51,97,3.84,NZ,1670286502
100,hermanus,-34.4187,19.2345,15.610000000000014,68,100,0.82,ZA,1670286449
101,sitka,57.0531,-135.33,2.9399999999999977,81,100,0.0,US,1670286439
102,shelburne,44.0787,-80.2041,1.6100000000000136,64,100,5.66,CA,1670286599
103,hambantota,6.1241,81.1185,24.379999999999995,85,100,2.09,LK,1670286599
104,malanville,11.8685,3.3899,24.53000000000003,17,80,3.7,BJ,1670286600
105,chandler,33.3062,-111.8412,20.450000000000045,65,0,2.57,US,1670286584
106,lompoc,34.6391,-120.4579,15.560000000000002,77,0,4.63,US,1670286455
